year,imm
2001,83
2001,96
2001,55
2001,89
2001,74
2001,78
2001,91
2001,99
2001,91
2001,44
2001,72
2001,92
2001,55
2001,99
2001,99
2001,88
2001,96
2001,82
2001,73
2001,95
2001,85
2001,99
2001,95
2001,77
2001,76
2001,92
2001,99
2001,99
2001,50
2001,98
2001,65
2001,70
2001,58
2001,93
2001,97
2001,94
2001,59
2001,81
2001,95
2001,98
2001,54
2001,70
2001,64
2001,58
2001,90
2001,84
2001,94
2001,98
2001,95
2001,96
2001,74
2001,73
2001,58
2001,95
2001,71
2001,85
2001,99
2001,39
2001,32
2001,92
2001,90
2001,99
2001,59
2001,91
2001,95
2001,65
2001,90
2001,97
2001,81
2001,97
2001,90
2001,92
2001,98
2001,69
2001,92
2001,97
2001,75
2001,48
2001,90
2001,95
2001,50
2001,95
2001,99
2001,94
2001,83
2001,20
2001,69
2001,99
2001,90
2001,89
2001,98
2001,58
2001,82
2001,94
2001,80
2001,88
2001,86
2001,94
2001,40
2001,89
2001,91
2001,92
2001,98
2001,99
2001,59
2001,99
2001,94
2001,94
2001,99
2001,59
2001,98
2001,98
2001,72
2001,84
2001,73
2002,95
2002,94
2002,96
2002,85
2002,86
2002,94
2002,56
2002,72
2002,81
2002,98
2002,97
2002,96
2002,95
2002,98
2002,97
2002,97
2002,82
2002,83
2002,85
2002,91
2002,35
2002,96
2002,81
2002,98
2002,64
2002,99
2002,91
2002,78
2002,66
2002,94
2002,99
2002,75
2002,91
2002,99
2002,82
2002,88
2002,66
2002,78
2002,91
2002,89
2002,92
2002,99
2002,92
2002,64
2002,75
2002,89
2002,52
2002,53
2002,95
2002,42
2002,25
2002,95
2002,93
2002,71
2002,42
2002,37
2002,94
2002,71
2002,95
2002,98
2002,86
2002,98
2002,95
2002,62
2002,99
2002,86
2002,99
2002,97
2002,93
2002,51
2002,83
2002,95
2002,93
2002,36
2002,85
2002,96
2002,55
2002,90
2002,75
2002,78
2002,92
2002,96
2002,92
2002,46
2002,73
2002,93
2002,56
2002,97
2002,99
2002,91
2002,99
2002,77
2002,73
2002,95
2002,86
2002,95
2002,95
2002,78
2002,88
2002,98
2002,97
2002,98
2002,55
2002,98
2002,59
2002,78
2002,52
2002,91
2002,98
2002,94
2002,61
2002,69
2002,94
2002,97
2002,56
2002,65
2002,80
2002,87
2002,84
2002,88
2002,94
2002,97
2002,98
2002,94
2002,77
2002,77
2002,68
2002,40
2002,71
2002,84
2002,98
2002,41
2002,30
2002,98
2002,87
2002,99
2002,60
2002,99
2002,95
2002,73
2002,86
2002,95
2002,82
2002,98
2002,93
2002,99
2002,98
2002,69
2002,99
2002,96
2002,85
2002,54
2002,92
2002,98
2002,62
2002,94
2002,99
2002,93
2002,78
2002,45
2002,65
2002,99
2002,99
2002,98
2002,99
2002,58
2002,73
2002,95
2002,84
2002,89
2002,89
2002,94
2002,56
2002,48
2002,85
2002,87
2002,94
2002,88
2002,99
2002,62
2002,99
2002,94
2002,95
2002,97
2002,58
2002,83
2002,96
2002,62
2002,84
2002,70
2003,97
2003,94
2003,97
2003,85
2003,87
2003,95
2003,60
2003,74
2003,84
2003,98
2003,96
2003,96
2003,96
2003,98
2003,96
2003,98
2003,82
2003,75
2003,82
2003,93
2003,39
2003,93
2003,84
2003,96
2003,50
